TAIR Accession	Locus	Gene Type	Description	Other Name(Type)	Keywords
Locus:2150803	AT5G08330	protein_coding	Circadian oscillator protein which interacts with bZIP63 and regulates a response of the circadian oscillator to sugar. Is not required for the sugar-induced circadian phase advance in the morning; regulates a response of CCA1 to sugars. Promotes together with TCP7; 8, 14, 15, 21, 22 and 23 endoreduplication-dependent cell expansion in leaf.	ATTCP21;CCA1 HIKING EXPEDITION;CHE;TCP DOMAIN PROTEIN 21;TCP21	positive regulation of circadian rhythm;regulation of DNA-templated transcription;regulation of circadian rhythm;nucleus;nucleus;DNA-binding transcription factor activity;protein binding;sequence-specific DNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:4515102740	AT1G69572	antisense_long_noncoding_rna	Circadian regulated lncRNA; natural antisense gene of  CDF5 (AT1G69570). Displays antiphasic expression pattern in relation to CDF5 expression (PMID:28758689).	FLORE	positive regulation of long-day photoperiodism, flowering;positive regulation of short-day photoperiodism, flowering;cellular_component;molecular_function;guard cell;leaf vascular system,
Locus:2028611	AT1G31500	protein_coding	HESP identified based on similarity to nocturnins and presence circadian regulatory elements in the promoter. It functions as a Mg(II) dependent poly(A) exoribonuclease.It is under circadian regulation and expressed at night. Knockdowns affect the regulation of circadian genes CCA1 and TOC1.	CATABOLITE REPRESSOR 4D;CCR4D;HESP;HESPERIN	nuclear-transcribed mRNA poly(A) tail shortening;regulation of circadian rhythm;nuclear-transcribed mRNA catabolic process, non-stop decay;mitochondrial matrix;nucleus;chloroplast;cytoplasm;nucleus;RNA 2',3'-cyclic phosphatase activity;RNA exonuclease activity;catalytic activity;mRNA 3'-UTR binding;poly(A)-specific ribonuclease activity;protein homodimerization activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2019322	AT1G29930	protein_coding	Subunit of light-harvesting complex II (LHCII);which absorbs light and transfers energy to the photosynthetic reaction center.	AB140;CAB1;CAB140;CHLOROPHYLL A/B PROTEIN 140;LHCB1.3;LIGHT-HARVESTING CHLOROPHYLL A/B-PROTEIN 1.3;chlorophyll A/B binding protein 1	photosynthesis, light harvesting in photosystem I;response to light stimulus;chloroplast thylakoid membrane;chloroplast;chloroplast thylakoid;chloroplast thylakoid membrane;nucleus;thylakoid;Golgi apparatus;chlorophyll binding;mRNA binding;cultured plant cell;guard cell;juvenile vascular leaf;rosette leaf,
Locus:2149589	AT5G52660	protein_coding	Encodes RVE6; a homolog of the circadian rhythm regulator RVE8. rve4 rve6 rve8 triple mutants display an extremely long circadian period, with delayed and reduced expression of evening-phased clock genes.	REVEILLE 6;RVE6	regulation of circadian rhythm;nucleus;DNA-binding transcription factor activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2007151	AT1G69570	protein_coding	CDF5 is a circadian regulated transcript that is antiphasic with respect to its natural antisense transcript (NAT) FLORE (AT1G69572).CDF5 transcript accumulation delays flowering. CDF5 links circadian oscillation and photoperiodism.	CDF5;CYCLING DOF FACTOR 5	negative regulation of long-day photoperiodism, flowering;negative regulation of short-day photoperiodism, flowering;regulation of DNA-templated transcription;nucleus;DNA binding;DNA-binding transcription factor activity;LP.04 four leaves visible stage;flowering stage;petal differentiation and expansion stage;carpel;collective leaf structure;flower;guard cell;inflorescence meristem;leaf vascular system;petal;pollen;pollen tube cell;sepal;stamen;stem;vascular leaf,
Locus:2151251	AT5G02840	protein_coding	Encodes RVE4; a homolog of the circadian rhythm regulator RVE8. rve4 rve6 rve8 triple mutants display an extremely long circadian period, with delayed and reduced expression of evening-phased clock genes. Involved in heat shock response.	LCL1;LHY/CCA1-like 1;REVEILLE 4;RVE4	circadian rhythm;regulation of circadian rhythm;nucleus;DNA-binding transcription factor activity;transcription cis-regulatory region binding;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seedling development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;fruit;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf;whole plant,
Locus:2075049	AT3G09600	protein_coding	Encodes a MYB-like transcription factor similar to CIRCADIAN CLOCK-ASSOCIATED1 (CCA1) and ELONGATED HYPOCOTYL (LHY). Involved in the regulation of circadian clock by modulating the pattern of histone 3 (H3) acetylation. Functions as a transcriptional activator of evening element containing clock genes. Involved in heat shock response.	LCL5;LHY-CCA1-LIKE5;REVEILLE 8;RVE8	circadian regulation of gene expression;photoperiodism, flowering;positive regulation of circadian rhythm;positive regulation of gene expression;positive regulation of transcription by RNA polymerase II;regulation of DNA-templated transcription;regulation of circadian rhythm;nucleus;DNA-binding transcription factor activity;sequence-specific DNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2202990	AT1G78580	protein_coding	Encodes an enzyme putatively involved in trehalose biosynthesis. The protein has a trehalose synthase (TPS)-like domain but no trehalose phosphatase (TPP)-like domain.  ATTPS1 is able to complement yeast tps1 mutants in vivo. The gene product modulates cell growth but not cell differentiation by determining cell wall deposition and cell division. The  N-terminal domain of TPS1 has a nuclear localization signal and an autoinhibitory function.   The C-terminal domain is important for catalytic fidality of TPS1 and for appropriate signaling of the sucrose status by trehalose 6-phosphate levels in the plant (10.1105/tpc.19.00837).	ATTPS1;TPS1;TREHALOSE-6-PHOSPHATE SYNTHASE;TREHALOSE-6-PHOSPHATE SYNTHASE 1;trehalose-6-phosphate synthase	cell division;developmental vegetative growth;embryo development ending in seed dormancy;long-day photoperiodism, flowering;plant-type cell wall biogenesis;root development;sugar mediated signaling pathway;trehalose metabolic process;trehalose biosynthetic process;chloroplast;cytoplasm;nucleus;alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity;glycosyltransferase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;axillary bud;carpel;cauline leaf;collective leaf structure;cotyledon;floral organ primordium;flower;guard cell;hypocotyl;inflorescence axillary meristem;inflorescence flower pedicel;leaf apex;leaf lamina base;leaf vascular system;peripheral zone;petal;petiole;phloem;plant embryo;plant embryo radicle;plant embryo vascular system;plant sperm cell;pollen;pollen sperm cell;pollen tube cell;root;rosette leaf;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf;vascular system;vegetative shoot apical meristem,
Locus:2091132	AT3G07640	protein_coding	period circadian protein;(source:Araport11)	PBAC5	nucleus;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2039139	AT2G46340	protein_coding	Encodes a member of the SPA (suppressor of phyA-105) protein family  (SPA1-SPA4). SPA proteins contain an N-terminal serine/threonine kinase-like motif followed by a coiled-coil structure and a C-terminal WD-repeat domain. SPA1 is a PHYA signaling intermediate; putative regulator of PHYA signaling pathway. Light responsive repressor of photomorphogenesis. Involved in regulating circadian rhythms and flowering time in plants. Under constant light, the abundance of SPA1 protein exhibited circadian regulation, whereas under constant darkness, SPA1 protein levels remained unchanged. In addition, the spa1-3 mutation slightly shortened circadian period of CCA1, TOC1/PRR1 and SPA1 transcript accumulation under constant light.	SPA1;SUPPRESSOR OF PHYA-105 1	chloroplast organization;negative regulation of photomorphogenesis;photomorphogenesis;red or far-red light signaling pathway;red, far-red light phototransduction;regulation of photoperiodism, flowering;response to far red light;response to red light;short-day photoperiodism, flowering;photoperiodism;red or far-red light signaling pathway;regulation of photoperiodism, flowering;response to blue light;nucleus;nuclear body;nucleus;Cul4-RING E3 ubiquitin ligase complex;identical protein binding;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2020028	AT1G54380	protein_coding	Encodes GEMIN2; a spliceosomal small nuclear ribonucleoprotein assembly factor conserved from yeast to humans. GEMIN2 is a key component of a posttranscriptional regulatory mechanism that ensures the appropriate acclimation of plants to daily and seasonal changes in temperature conditions. It controls the alternative splicing of several circadian clock genes and attenuates the effects of temperature on the circadian period.	GEMIN2	alternative mRNA splicing, via spliceosome;cellular response to cold;spliceosomal snRNP assembly;spliceosomal snRNP assembly;nucleus;nucleus;SMN complex;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:3713871	AND	unknown	ANDANTE; QTL for circadian period located on chromosome 5.	AND;ANDANTE	circadian rhythm;cellular_component;molecular_function,
Locus:505006254	AT2G18915	protein_coding	encodes a member of F-box proteins that includes two other proteins in Arabidopsis (ZTL and FKF1). These proteins contain a unique structure containing a PAS domain at their N-terminus; an F-box motif, and 6 kelch repeats at their C-terminus. Overexpression results in arrhythmic phenotypes for a number of circadian clock outputs in both constant light and constant darkness, long hypocotyls under multiple fluences of both red and blue light, and a loss of photoperiodic control of flowering time. Although this the expression of this gene itself is not regulated by circadian clock, it physically interacts with Dof transcription factors that are transcriptionally regulated by circadian rhythm. LKP2 interacts with Di19, CO/COL family proteins.	ADAGIO 2;ADO2;LKP2;LOV KELCH PROTEIN 2	regulation of circadian rhythm;ubiquitin-dependent protein catabolic process;regulation of circadian rhythm;response to blue light;cytosol;nucleus;Cajal body;cytosol;nucleus;SCF ubiquitin ligase complex;blue light photoreceptor activity;protein binding;LP.06 six leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;carpel;cauline leaf;collective leaf structure;flower;fruit;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;plant embryo;root;rosette leaf;seed;sepal;stamen;stem;vascular leaf,
Locus:2050130	AT2G21320	protein_coding	B-box domain containing transcriptional regulator involved in circadian periodicity.	B-BOX DOMAIN PROTEIN 18;BBX18	circadian rhythm;regulation of DNA-templated transcription;cellular heat acclimation;cellular response to blue light;negative regulation of photomorphogenesis;photomorphogenesis;regulation of DNA-templated transcription;regulation of circadian rhythm;nucleus;nucleus;DNA-binding transcription factor activity;protein binding;transcription cis-regulatory region binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf lamina base;petal;plant embryo;pollen;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2204435	AT1G75950	protein_coding	SKP1 is core component of the SCF family of E3 ubiquitin ligases and serves to tether the rest of the complex to an F-box protein; which  provides specificity in binding to ubiquitin ligase substrate proteins. Predominately expressed from leptotene  to pachytene. Negatively regulates recombination. Interacts with P0, a silencing suppressor protein encoded by poleroviruses by means of a conserved minimal F-box motif.	ARABIDOPSIS SKP1 HOMOLOGUE 1;ASK1;ATSKP1;S PHASE KINASE-ASSOCIATED PROTEIN 1;SKP1;SKP1A;UFO INTERACTING PROTEIN 1;UIP1	male meiotic nuclear division;microtubule cytoskeleton organization;mitotic cell cycle;negative regulation of DNA recombination;ubiquitin-dependent protein catabolic process;SCF-dependent proteasomal ubiquitin-dependent protein catabolic process;cytoplasm;nucleus;cytoplasm;cytosol;mitochondrion;nucleus;phragmoplast;spindle;SCF ubiquitin ligase complex;ubiquitin ligase complex;cullin family protein binding;protein binding;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;fruit;fruit valve;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;lateral root;leaf apex;leaf lamina base;microspore;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;primary root;root;root cortex;root epidermis;rosette leaf;seed;sepal;shoot apical meristem;shoot axis apex;shoot axis cortex;shoot system;stamen;stem;vascular leaf,
Locus:2041369	AT2G46970	protein_coding	encodes a novel Myc-related bHLH transcription factor; which physically associated with APRR1/TOC1 and is a member of PIF3 transcription factor family.	PHYTOCHROME INTERACTING FACTOR 3-LIKE 1;PIL1	callus formation;red or far-red light signaling pathway;regulation of DNA-templated transcription;shade avoidance;red or far-red light signaling pathway;regulation of transcription by RNA polymerase II;nucleus;nucleus;DNA-binding transcription factor activity;protein binding;transcription cis-regulatory region binding,
Locus:2114845	AT3G04910	protein_coding	Serine/threonine protein kinase; whose transcription is regulated by circadian rhythm.	ATWNK1;WNK1;ZIK4;with no lysine (K) kinase 1	circadian rhythm;protein phosphorylation;intracellular signal transduction;cytoplasm;nucleus;protein kinase activity;protein serine/threonine kinase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:1005028083	ESP	unknown	a QTL located on chromosome 1 involved in control of circadian rhythm	ESP;ESPRESSO	circadian rhythm;cellular_component;molecular_function,
Locus:2148348	AT5G59570	protein_coding	Encodes BOA (BROTHER OF LUX ARRHYTHMO); a component of the circadian clock.	BOA;BROTHER OF LUX ARRHYTHMO	circadian rhythm;regulation of DNA-templated transcription;regulation of flower development;nucleus;nucleus;DNA-binding transcription factor activity;guard cell,
Locus:2019372	AT1G29920	protein_coding	Encodes lhcb1.1 a component of the LHCIIb light harvesting complex associated with photosystem II.	AB165;CAB2;CHLOROPHYLL A/B-BINDING PROTEIN 2;LHCB1.1;LIGHT HARVESTING CHLOROPHYLL A/B-BINDING PROTEIN 1.1	response to fructose;photosynthesis, light harvesting in photosystem I;response to light stimulus;chloroplast thylakoid membrane;apoplast;chloroplast;chloroplast thylakoid membrane;nucleus;thylakoid;Golgi apparatus;chlorophyll binding;mRNA binding;protein binding;cotyledon;cultured plant cell;fruit;guard cell;hypocotyl;juvenile vascular leaf;leaf mesophyll;petal;root tip;root vascular system;rosette leaf;sepal;shoot axis cortex;shoot axis vascular system,
Locus:3685408	TOC2	unknown	A recessive mutation located on chromosome 2 that affects the circadian control of CAB gene expression	TIMING OF CAB1 2;TOC2	circadian rhythm;cellular_component;molecular_function,
Locus:2200610	AT1G26800	protein_coding	MPSR1 is  cytoplasmic E3 ligase that senses misfolded  proteins independently of chaperones and targets those proteins for degradation via the 26S proteasome. Involved in the regulation of the homeostasis of sensor NLR immune receptors.Physically interacts with SRR1; and can target SRR1 for proteasomal degradation/ Its expression is regulated by the circadian clock with a midday phase and is induced in short photoperiods, though MPSR1 itself is not required for maintaining circadian clock period	MISFOLDED PROTEIN SENSING RING E3 LIGASE 1;MPSR1;SNIPER2	cellular response to hypoxia;cellular response to misfolded protein;cytoplasm protein quality control by the ubiquitin-proteasome system;protein autoubiquitination;protein polyubiquitination;protein ubiquitination;regulation of protein complex stability;short-day photoperiodism;cytoplasm;cytoplasm;cytosol;nucleus;misfolded protein binding;ubiquitin protein ligase activity;ubiquitin-protein transferase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;petal;plant embryo;plant ovule;pollen;root;seed;sepal;shoot axis apex;stamen;stem;vascular leaf,
Locus:2075200	AT3G46640	protein_coding	Encodes a myb family transcription factor with a single Myb DNA-binding domain (type SHAQKYF) that is unique to plants and is essential for circadian rhythms; specifically for transcriptional regulation within the circadian clock.   LUX is required for normal rhythmic expression of multiple clock outputs in both constant light and darkness.  It is coregulated with TOC1 and seems to be repressed by CCA1 and LHY by direct binding of these proteins to the evening element in the LUX promoter.	LUX;LUX ARRHYTHMO;PCL1;PHYTOCLOCK 1	circadian rhythm;regulation of DNA-templated transcription;regulation of gene expression;circadian rhythm;positive regulation of circadian rhythm;nucleus;nucleus;DNA-binding transcription factor activity;guard cell,
Locus:2115340	AT4G36710	protein_coding	Regulates the release of seed dormancy by integrating  the circadian clock; hormonal signals and cell wall remodeling.	Arabidopsis thaliana HAIRY MERISTEM 4;AtHAM4;HAM4;SCARECROW-LIKE 15;SCL15	cell differentiation;regulation of DNA-templated transcription;regulation of shoot system development;regulation of DNA-templated transcription;nucleus;nucleus;DNA-binding transcription factor activity;protein binding;sequence-specific DNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2010356	AT1G12910	protein_coding	Encodes LIGHT-REGULATED WD1 (LWD1); a clock proteins regulating circadian period length and photoperiodic flowering.	ANTHOCYANIN11;ATAN11;LIGHT-REGULATED WD 1;LWD1	anthocyanin-containing compound biosynthetic process;entrainment of circadian clock by photoperiod;photoperiodism, flowering;nucleus;cytoplasm;nucleus;transcription cis-regulatory region binding;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2090792	AT3G26640	protein_coding	Encodes LIGHT-REGULATED WD1 (LWD1); a clock proteins regulating circadian period length and photoperiodic flowering.	LIGHT-REGULATED WD 2;LWD2	entrainment of circadian clock by photoperiod;photoperiodism, flowering;nucleus;cytoplasm;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2171519	AT5G47390	protein_coding	Encodes a circadian-regulated transcription factor which specifically controls cell expansion during leaf development by controlling ROS homeostasis.	KUA1;KUODA1 (Chinese for enlarge or expand);MYB HYPOCOTYL ELONGATION-RELATED;MYBH	leaf development;negative regulation of transcription by RNA polymerase II;positive regulation of cell growth;regulation of DNA-templated transcription;regulation of reactive oxygen species metabolic process;intracellular auxin homeostasis;lateral root development;leaf senescence;negative regulation of DNA-templated transcription;post-embryonic plant organ morphogenesis;response to abscisic acid;response to absence of light;response to ethylene;nucleus;nucleus;DNA-binding transcription factor activity;protein binding;transcription cis-regulatory region binding;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2011246	AT1G19120	protein_coding	Component of the 5?-3?  mRNA decay pathway which constitutes a post-transcriptional regulatory layer of the circadian gene network.	LSM1A;SM-LIKE 1A	RNA metabolic process;cold acclimation;hyperosmotic salinity response;mRNA processing;response to water deprivation;deadenylation-dependent decapping of nuclear-transcribed mRNA;P-body;P-body;nucleus;Lsm1-7-Pat1 complex;RNA binding;mRNA binding;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2087522	AT3G14080	protein_coding	Component of the 5?-3?  mRNA decay pathway which constitutes a post-transcriptional regulatory layer of the circadian gene network.	LSM1B;SM-LIKE 1B	RNA metabolic process;cold acclimation;hyperosmotic salinity response;mRNA processing;response to water deprivation;deadenylation-dependent decapping of nuclear-transcribed mRNA;P-body;P-body;cytosol;nucleus;Lsm1-7-Pat1 complex;RNA binding;mRNA binding;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
